"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Military veteran starts organic backyard garden https://t.co/29OuvOs6uM https://t.co/xiWyZNn7Im",FALSE,0,NA,2016-11-13 15:04:22,FALSE,NA,"797817386594287618",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dedouble",0,FALSE,FALSE,NA,NA
"RT @JCIMaldives: First day of the second phase of #mudeyshi (community garden) https://t.co/O0m9c6DqDn",FALSE,0,NA,2016-11-13 15:03:12,FALSE,NA,"797817092854587393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shixlene",2,TRUE,FALSE,NA,NA
"First day of the second phase of #mudeyshi (community garden) https://t.co/O0m9c6DqDn",FALSE,2,NA,2016-11-13 15:02:37,FALSE,NA,"797816945764683776",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JCIMaldives",2,FALSE,FALSE,NA,NA
"Today is the day! 

Come join us for the Community Garden cleanup from 12-2 to help Ormond Memorial Art Museum... https://t.co/VAWaeDFpiE",FALSE,0,NA,2016-11-13 15:02:21,FALSE,NA,"797816879586934784",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DBYPG",0,FALSE,FALSE,NA,NA
"RT @UNT_UPC: UPC had a great morning helping out at the community garden today! Ì†ºÌº±#UPCommunity #UNT https://t.co/zqMe4l92oA",FALSE,0,NA,2016-11-13 14:58:04,FALSE,NA,"797815801613025280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Taylor_Alexes",4,TRUE,FALSE,NA,NA
"@Hollis_CREW we love this!! We have w community garden and we would love for your students to come help with.",FALSE,0,"Hollis_CREW",2016-11-13 14:40:07,FALSE,"797497777156718598","797811285538852864","740191721103982592","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RCFATL",0,FALSE,FALSE,NA,NA
"Apply for a 2017 community garden between Nov. 14 and 30 https://t.co/fjLk8LVHiX",FALSE,0,NA,2016-11-13 14:30:35,FALSE,NA,"797808883867721728",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BlairLancaster",0,FALSE,FALSE,NA,NA
"Working the Madison marathon (@ Troy Community Garden in Madison, WI) https://t.co/zYAPdSf54L",FALSE,0,NA,2016-11-13 14:26:55,FALSE,NA,"797807962144305152",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Tiff_Perfectly",0,FALSE,FALSE,NA,NA
"Florence says that her garden has impacted the community as they earn from it and it has given her a good status. #FriendsWithBenefits",FALSE,0,NA,2016-11-13 14:15:43,FALSE,NA,"797805145954324480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nssfug",0,FALSE,FALSE,NA,NA
"RT @DorrisJonesPTA: We need community donors! We need 5 more raised beds for our garden.  Teaching kids. #rockwallBusinesses @villarreal_jj‚Ä¶",FALSE,0,NA,2016-11-13 14:14:33,FALSE,NA,"797804852025888768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","t_twedell",1,TRUE,FALSE,NA,NA
