"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Ana Oliveira leads @nywomesnfd –invests in community-led solutions w @ENYFarms to create urban agriculture income f… https://t.co/Lw9lugB1x9",FALSE,3,NA,2016-11-10 15:30:51,TRUE,NA,"796736888262496257",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","womensfunding",0,FALSE,FALSE,NA,NA
"RT @CECHR_UoD: Community Supported Agriculture
Hetzoeteland
3000 m2 growing veggies for 100 people MT @Veldkers
https://t.co/E4WSVrFmWI #Le…",FALSE,0,NA,2016-11-10 15:26:07,FALSE,NA,"796735696434294785",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OBYONETAOPY",17,TRUE,FALSE,NA,NA
"RT @adaptationfund: #AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; C…",FALSE,0,NA,2016-11-10 15:23:52,FALSE,NA,"796735131625095169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tovezg",6,TRUE,FALSE,NA,NA
"RT @CECHR_UoD: Community Supported Agriculture
Hetzoeteland
3000 m2 growing veggies for 100 people MT @Veldkers
https://t.co/E4WSVrFmWI #Le…",FALSE,0,NA,2016-11-10 15:20:30,FALSE,NA,"796734284216274945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fabm_f",17,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 14:48:49,FALSE,NA,"796726310341148677",NA,"<a href=""http://sdaglabs.com/"" rel=""nofollow"">Pesticide_Retweet</a>","SD_Ag_Labs",15,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 14:48:03,FALSE,NA,"796726116635525120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AW_RodgerH",15,TRUE,FALSE,NA,NA
"Love this picture and love the support of agriculture education in my community!! https://t.co/ZHc2A6m4EF",FALSE,0,NA,2016-11-10 14:39:35,FALSE,NA,"796723984758874112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","christasteinkam",0,FALSE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 14:33:42,FALSE,NA,"796722505725702144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndreaWhalley",15,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 14:09:57,FALSE,NA,"796716530914435073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HARCVS",15,TRUE,FALSE,NA,NA
"RT @FAOnews: The latest The Food &amp; Agriculture Spotlight! https://t.co/C73dWuZwDj Thanks to @FAO_SLM @AIMS_Community @FAO4Members #nowreadi…",FALSE,0,NA,2016-11-10 14:09:55,FALSE,NA,"796716522848813056",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","domenic39159572",7,TRUE,FALSE,NA,NA
"RT @adaptationfund: #AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; C…",FALSE,0,NA,2016-11-10 14:08:57,FALSE,NA,"796716276118732800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sachya77",6,TRUE,FALSE,NA,NA
"I liked a @YouTube video from @pbsfood https://t.co/nnIeXUcC6Q Community Supported Agriculture (CSAs) | The Lexicon of Sustainability",FALSE,1,NA,2016-11-10 13:33:09,FALSE,NA,"796707270172299265",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MohamedSMYassin",0,FALSE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 13:29:29,FALSE,NA,"796706345617592321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChiefExecHARCVS",15,TRUE,FALSE,NA,NA
"AFCOTRAG continues to serve the African community with women, young &amp; youth participation to transform the economy… https://t.co/ya7SdVyxmt",FALSE,0,NA,2016-11-10 13:10:46,TRUE,NA,"796701636035014656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AFCOTRAG",0,FALSE,FALSE,NA,NA
"RT @jamescourtnwb: Proud sponsor at #Beef South West 2016 Supporting #local #farming #community #agriculture #cows #natwestboost https://t.…",FALSE,0,NA,2016-11-10 13:04:26,FALSE,NA,"796700041515778048",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dawn13houghton",4,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 12:42:21,FALSE,NA,"796694482691428352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edensyske",15,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 12:39:13,FALSE,NA,"796693697081602049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rural_law",15,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 12:36:38,FALSE,NA,"796693045223784448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YoredaleVets",15,TRUE,FALSE,NA,NA
"RT @adaptationfund: AF #COP22 Side Event on Family &amp; Community Agriculture Nov 10 6:30-8pm @ Pacific. Read more &amp; watch the live stream: ht…",FALSE,0,NA,2016-11-10 12:32:09,FALSE,NA,"796691916360478721",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","UNICDaressalaam",10,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 12:22:51,FALSE,NA,"796689576270188544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FarmingFutures",15,TRUE,FALSE,NA,NA
"RT @adaptationfund: #AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; C…",FALSE,0,NA,2016-11-10 11:42:24,FALSE,NA,"796679398413975552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","indidlk",6,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 11:26:49,FALSE,NA,"796675477054357504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JWPCreers_LLP",15,TRUE,FALSE,NA,NA
"RT @YorksAgSoc: Don't suffer alone, there's help out there. These charities offer support for those in the #farming community #ThursdayThou…",FALSE,0,NA,2016-11-10 11:19:53,FALSE,NA,"796673730512621569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greatyorkshow",15,TRUE,FALSE,NA,NA
"Don't suffer alone, there's help out there. These charities offer support for those in the #farming community… https://t.co/RuOdJWyvnc",FALSE,6,NA,2016-11-10 11:09:40,TRUE,NA,"796671160100540416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YorksAgSoc",15,FALSE,FALSE,NA,NA
"RT @adaptationfund: #AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; C…",FALSE,0,NA,2016-11-10 10:40:01,FALSE,NA,"796663697246736386",NA,"<a href=""http://sdaglabs.com/"" rel=""nofollow"">Pesticide_Retweet</a>","SD_Ag_Labs",6,TRUE,FALSE,NA,NA
"RT @adaptationfund: #AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; C…",FALSE,0,NA,2016-11-10 10:37:07,FALSE,NA,"796662969396510720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rdjegbenou",6,TRUE,FALSE,NA,NA
"RT @adaptationfund: #AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; C…",FALSE,0,NA,2016-11-10 10:37:07,FALSE,NA,"796662969341972480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CasadBenin",6,TRUE,FALSE,NA,NA
